Job,Skills/Keywords
Senior Data Scientist Grade12,"Python, Statistics, deep learning, data science, Neural networks, JIRA, Machine learning, GIT, E-commerce, Computer vision"
Sr. Analyst - Applied Data Scientist,"R shiny, Machine Learning, python, Statistical Modeling, Microstrategy, sql, Adv Excel, Tableau"
Data Scientist V,"Big Data, Python, AWS, Machine Learning, Computer science, IT Skills, Azure, Data Science"
"Manager, Data Scientist/AI and Machine Learning Specialist","data visualization, data science, Neural networks, Clinical trials, Network analysis, Computer science, Pharma, Machine learning"
Digital-Process Manager-Data Scientist PM,"Python, BPO, Project Management, R, Random Forest, SAS, Data Scientist, Logistic Regression, process management, IT Skills, Classification, Tableau, Data Science, Data Analytics"
Associate Data Scientist,"Javascript, Image processing, data integrity, AWS, Machine Learning, Computer science, Logistic Regression, Text mining, E-learning, data, Engineering, engineer, Tools, Python, Database, Economics, Technology, Life sciences, HR, Data management, Bioinformatics, science, Pharma, Troubleshooting, SQL, Linux, data reporting, Computer vision, Analytical, R, Engineer, Data scientist, DBA, HPLC, Machine learning, learning, verbal communication, Time Series Analysis, Artificial Intelligence, Data Science, Tableau, Business intelligence, Decision Trees, Healthcare, MATLAB, Cloud, Digital marketing, Linear Regression, Analytics, stats Graduate, IT Skills, pandas, Computer Science, Machine Learning Eng"
Junior Data Analyst/ Scientist- Fresher Position,"Data Analysis, Python, Advanced Excel, Data Visualization, C++, Tableau"
Sr. Clinical Data Programming Scientist,"Consulting, Project initiation, Clinical trials, SAS, Life sciences, Cognos, Pharmacovigilance, Programming, SQL"
"Manager, Senior Clinical Data Scientist, Clinical Data Sciences","EDC, Licensing, Clinical trials, Data collection, Clinical research, Data management, Data quality, Monitoring"
Digital-Senior Process Manager- Data Scientist SPM,"Python, BPO, Project Management, R, SAS, image analytics, data visualization tools, python, project management, Logistic Regression, IT Skills, SQL, Classification, Tableau, Data Science, Data Analytics"
Data Scientist - Machine learning AI,"Python, Gcp Cloud, Deployment, IT Skills, Etl Automation, machine learning, Tableau, Data Science"
DATA SCIENTIST,"Javascript, Linux OS, Cassandra, Data collection, Research, Computer science, Programming, Unix, C++, SQL database, Data modeling, Python, Database, Calculus, Computer application, Windows, query, Hadoop stack, Operations research, Spark, Perl, Octave, Analytical, Algorithms, Manager Technology, Map - Reduce, R, deep learning, Data Scientist, Machine learning, Operations, Business research, C + +, communication, Shell Scripting, Business intelligence, Hadoop, Executive management, Big Data, Statistics, MATLAB, Grid, Pig, big data, Data mining, Analytics, Data structures, Computer Science, Hbase"
Principal Data Scientist - Digital Marketing,"Product engineering, Digital marketing, Open source, Automation, Machine learning, Data structures, Operations research, Agile"
Manager Applied Data Scientist,"Analytical, Python, SQL, Analytics, Machine learning, Microstrategy, Stakeholder management, Business services"
Sr Data Scientist and Engineer,"SAP, Big Data, SCALA, Statistics, Power BI, Machine Learning, Spark, Deep Learning, BigQuery, Time Series, Tableau, machine learning, Tensorflow, Data Science, Hadoop"
Data Scientist/ Sr Data Scientist,"credit card firm, Python, credit risk modeling, R, SQL, Pyspark, LGD, Hadoop"
"Manager, Lead Data Scientist (R CoE)","Javascript, Computer science, Machine learning, Pharma, Networking, Workflow, HTML, Agile"
Data Scientist: Artificial Intelligence,"Amazon AI, SAP, NodeJS, AWS, LEX, Electrical engineering, Interpersonal skills, Watson discovery, Telecommunication, Enterprise applications, Disaster recovery, Computer science, python, IVR, Monitoring, Maximo data model, Maximo Implementation, Agile, Data modeling, Python, Automation testing, Deployment, Scheduling, Open source, SQL, Training, Unix shell scripting, Computer languages, Lambda, Maximo data migration, Amazon Connect, Capacity planning, Java, Infrastructure, Purchase, AWS services, QA, communication, Artificial Intelligence, Data Science, Simulation, Data migration, Hadoop, Big Data, Maximo, Power BI, Investigation, big data, Cloud, Dynamo DB, AWS Lex, Automation, Analytics, Debugging, IT Skills, Lex"
Data Scientist (AVP & Manager Roles),"Python, Predictive Modeling, Machine Learning, Data Scientist, Model Deployment"
Data Scientist: Advanced Analytics,"Consulting, Javascript, NodeJS, LEX, Interpersonal skills, Enterprise applications, IVR, Python, data science, Open source, Training, advanced analytics, Architecture, Amazon Connect, Machine learning, AWS services, AWS core services, analytical, Dynamo DB, Circuit designing, Investigation, Lex, IT Skills"
"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)","Glue, Dataflow, Big Data ecosystem, EMR, Oozie, ETL, Power Bi, HDInsight"
VP-Data Scientist-AI/ML with Leading Investment Bank,"Pytorch, Tensorflow, Machine Learning, Time Series, Pyspark, Classification, Presto, Data Science"
Cognitive/AI Senior Data Scientist,"Consulting, IVR, Automation, Machine learning, Analytics, IT Skills, Azure, Salesforce"
Analyst - Applied Data Scientist,"Tableau, python, SQL"
Research Data Scientist,"NoSQL, Python, Machine Learning, Cloud, Logistic Regression, IT Skills, Software Development, Data Science"
Freshers For Junior Data Scientist,"Statistical Modeling, R Program"
Lead - Data Scientist,"Big Data, Python, SQL Server, C++, Data analysis, R, data science, Business Intelligence, visualization, Java, Business Analytics, IT Skills, .Net, Software Development, Tableau"
Data Scientist / Analyst,"Basic, Computer science, Git, Python, Wealth management, SQL, Cash management, Data Analytics, Computer vision, Analytical, Anti money laundering, deep learning, Financial services, Analyst, Statistical software, communication, Power - BI, Data Science, Coding, Data analysis, MATLAB, Statistics, Senior Analyst, Big Data Technologies, Opencv, Project management"
Data Scientist - Machine Learning/APICS,"APICS, Python, R, Machine Learning, Neural networks, Ai, Deep Learning, Anaconda, Data Management, Artificial Intelligence, Data Science, NLP"
Assistant Manager/Manager/Senior Manager - Data Scientist,"Python, Statistics, R, Machine Learning, SAS, analytics, Data Scientist, Analytics, SQL, Data Science, analytical skills"
Job Opportunity || Data Scientist || HCL Technologies,"Python, CuDNN, Caffe, OpenCV, Theano, Torch, machine learning, Tensorflow"
Clinical Data Management Scientist,"Consulting, EDC, Pharmacy, Project initiation, Statistical programming, Clinical trials, Cloud, SAS, Life sciences, Clinical research, Pharmacovigilance, Data management, Database design, IT Skills, SQL, Client relationship, Individual Contributor"
Data Scientist - KONE India Pvt. LTD,"DevOps, AWS, R, Cloud, python, Data Visualization, IT Skills, SQL"
Data Scientist - Leading Analytics Product Company in Mumbai,"Clustering, Text Mining, Machine Learning, Regression, Java, Senior Data Scientist, C, C++"
Data Scientist - R/Python,"PhD, Python, R/Python, TensorFlow, Learn, R, Machine Learning, Scikit, Graph DB, Data Scientist, SQL, Selenium, Artificial Intelligence, Data Mining"
Data Scientist - Machine Learning,"SAS Visual Analytics, data mining, SPSS, Machine Learning, MapReduce, SAS, Network analysis, AI, Computer science, Data Management, Data Quality, Statistical Analyst, Python, Algorithm, MongoDB, data science, AWSAzureGCP, Statistical Modeling, Scientist, Operations research, SQL queries, Machine Learning lifecycle, Spark, Deep Learning stack, Social networking, Natural language processing, R, R - Shiny, Data Scientist, Machine learning, Bfsi, Software Development, Tableau, Data Pipeline, Data Science, Hadoop, Artificial Intelligence, analytical, Django, Cloud, Python R, Predictive modeling, IT Skills, data management, Qlikview, Matplotlib, NLP"
Sr. Data Scientist,"Prototype, data governance, Computer science, Econometrics, C++, Pandas, Testing, SciPy, Reconciliation, Analytical, predictive model, RDBMS, Data Cleansing, Operations, Coding, Business intelligence, Marketing Analytics, Data quality, Information management, product life cycle, Informatica, SPSS Modeller, MySQL, Consulting, SAS, python, Programming, SAS Eminer, analytical project management, Business analytics, Data management, Natural Language Processing, project management, HP data protector, Petrochemical, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, Architect, Data Science, Customer acquisition, MATLAB, Statistics, Procurement, Data processing, machine learning, Supervisor, Agile, SVM, written communication, SQL, Operations research, Predictive Modeling, Statistical Data Analysis, Customer retention, risk modeling, Cloud, NumPy, IT Skills, Networking, oral, SAP, Javascript, Conceptual modelling, Machine Learning, Application programming, Data Mining, Data modeling, Python, Career development, Supply chain, Open source, advanced analytics, Data Scientist, Machine learning, Data Visualization, Scala, Artificial Intelligence, analytics, Big Data, Stored procedures, Data analysis, time management, PHP, Management, Data mining, Analytics, Predictive modelling, Data Management"
Data Scientist/ Analyst Specialist,"Data Analysis, Python, R, Machine Learning, Client Servicing, Logistic Regression, SQL, Computer Science"
Data Scientist (freelance),"Javascript, Python, Machine Learning, Java, Data Scientist, IT Skills"
Rolls-Royce Data Labs : Data Scientist,"Python, Pandas, GIT, Azure, Linux, Docker, Matplotlib"
Staff Data Scientist,"Image processing, Machine Learning, Computer science, Product management, Text mining, Agile, Python, Publishing, Data Structures, application architecture, Supply chain, SQL, Computer vision, Algorithms, Information Retrieval, Java, Data Scientist, Nlp, Machine learning, Web analytics, Data Science, Big Data, Data analysis, Data quality, IT Skills, Computer Science"
Data Scientist / Machine learning Engineer- Python/NLP,"nlp, python, IT Skills, machine learning, Data Science"
Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),"Python, AWS, Market Mix Modelling, Cloud, Data Scientist, Digital Marketing, IT Skills, Data Science"
Data Scientist-Client Engineering,"Consulting, Python, Analytical, Presales, Healthcare, data science, Automation, Machine learning"
Senior Data Scientist -Python+ML(5-7 years),"Web Framework, Django, Machine Learning, tensorflow, artificial intelligence, Neural Networks, python, flask"
Hiring Senior Data Scientist - AI ( Remote) || Hanu,"Big Data, Python, Machine Learning, Cloud, azure, IT Skills, Artificial Intelligence, Data Science"
Data Scientist Opportunity with PayU - Diversity Hiring,"Predictive Analytics, Django, Text Mining, Pattern Recognition, python, Natural Language Processing, pytorch, Data Mining"
Data Scientist 1,"Consulting, Prototype, AWS, Machine Learning, PPC, SAS, Data collection, Interpersonal skills, Research, Computer science, Product management, Monitoring, Unix, Project handling, Azure, Data modeling, Trade, Risk analytics, Python, Predictive analytics, Sales operations, Credit risk, data science, Analytical skills, Data management, SQL, Training, Operations research, Risk management, Quantitative analysis, model development, Analytical, Manager Technology, Focus, Usage, Financial services, Scientist 1, Machine learning, Operations, Credit risk management, Business intelligence, Coding, Data analysis, Statistical programming, Cloud, Management, Senior Analyst, Data mining, Spectrum, Cloud computing, Analytics, QlikView, IT Skills, Customer experience, Project management"
Digital-Associate Process Manager - Data Scientist APM,"BPO, Project Management, story telling, auditing, Data Scientist, project management, IT Skills, travel"
Lead Data Scientist,"Data Analysis, Prototype, data mining, Quality Assurance, AWS, Research, Computer science, Econometrics, OpenCV, r, APS, IT services, Testing, Deep Learning, SciPy, Shell scripting, NoSQL, Compliance, Analytical, Statistical analysis, Natural language processing, deep learning, JDA ESP, Data Manipulation, Ml Deployment, Coding, spark, Statistical modeling, tSNE, Data quality, Automation, Pytorch, Consulting, Data Engineering, data visualization, Neural networks, SAS, Schema, artificial intelligence, python, algorithms, Logility, Production support, Model Building, Deployment, Investment banking, Data management, Regression Modeling, Tensorflow, Robotics, DevOps, git, Data analytics, R, Customer engagement, Solution architecture, Natural Language Processing, Team management, Software Development, Data Science, Simulation, Statistics, MATLAB, TAM, big data, PyTorch, Data structures, machine learning, SOAP, Aiml, Workflow, Predictive analytics, Text Mining, data science, Data science, SQL, Operations research, Computer vision, Machine Learning Algorithms, TensorFlow, Manager Technology, Predictive Modeling, nlp, Data Collection, Oracle VCP, Tableau, Customer service, Forecasting, Power BI, Cloud, NumPy, IT Skills, Mentor, Opencv, NLP, Mechine Learning, UMAP, Data Analyst, Machine Learning, AI, Neural Networks, Monitoring, verbal, Data modeling, Data Mining, Backend, Python, BPO, power bi, Supply chain, Open source, Engineering Manager, GCP, Signal processing, Object Detection, Business operations, Linux, sql, Data Analytics, Spark, kNN, Project Management, advanced analytics, Data Scientist, Nlp, Machine learning, Data Visualization, Project development, Anaplan, Artificial Intelligence, Computer Vision, analytics, TPUs, Natural Language, Big Data, Data analysis, SLQ, Data mining, Linear Regression, Analytics, presentation, GPUs, Computer Science"
