Job_Role,Company,Location,Skills/Description,Min Experience,Max Experience
Sr. Clinical Data Programming Scientist,Accenture,Bangalore/Bengaluru,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials",7.0,11.0
"Manager, Senior Clinical Data Scientist, Clinical Data Sciences",Pfizer,Chennai,"Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring",4.0,8.0
Senior Data Scientist,Michelin,Pune,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data",3.0,7.0
Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics",8.0,13.0
Data Scientist,MNR Solutions Pvt. Ltd.,"Pune, Bangalore/Bengaluru","Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data",5.0,10.0
Data Scientist - Machine learning AI,Teq Analytics,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science",3.0,8.0
DATA SCIENTIST,String Bio,Bangalore/Bengaluru,"Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence",2.0,7.0
Principal Data Scientist - Digital Marketing,Target,Bangalore/Bengaluru,"Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source",7.0,12.0
Manager Applied Data Scientist,Tesco Bengaluru,Bangalore/Bengaluru,"Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python",3.0,6.0
Sr Data Scientist and Engineer,Sportism,Chennai,"machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau",5.0,8.0
Data Scientist/ Sr Data Scientist,Connexions,Gurgaon/Gurugram,"Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R",2.0,6.0
"Manager, Lead Data Scientist (R CoE)",Pfizer,Mumbai,"Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML",6.0,8.0
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment",3.0,7.0
Data Scientist (AVP & Manager Roles),Barclays Shared Services (BSS),Noida,"Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning",3.0,8.0
Principal Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS",12.0,16.0
Data Scientist,Genpact,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR","AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree",5.0,8.0
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing",2.0,5.0
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration",3.0,7.0
"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)",INOVARTECH PRIVATE LIMITED,Hyderabad/Secunderabad(Nanakramguda),"Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie",7.0,12.0
VP-Data Scientist-AI/ML with Leading Investment Bank,SKILLVENTORY,Bangalore/Bengaluru,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning",8.0,12.0
Senior Data Scientist,Walmart,Bangalore/Bengaluru,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks",5.0,10.0
Cognitive/AI Senior Data Scientist,IBM,Bangalore/Bengaluru,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR",4.0,8.0
Analyst - Applied Data Scientist,Tesco,Bangalore/Bengaluru,"python, Tableau, SQL",1.0,2.0
Research Data Scientist,Mavenir,Bangalore/Bengaluru,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL",4.0,9.0
Freshers For Junior Data Scientist,Aaum Research and Analytics Private Limited,Chennai,"Statistical Modeling, R Program",0.0,1.0
Lead - Data Scientist,Applied Materials,Bangalore/Bengaluru,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau",10.0,15.0
Data Scientist / Analyst,Deutsche Bank,Bangalore/Bengaluru,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services",2.0,6.0
Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python",3.0,8.0
Data Scientist,Vasta Bio-informatics Pvt ltd,"Thane, Panvel, Navi Mumbai","python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying",4.0,9.0
Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru","R, SAS, Data Scientist, analytics, analytical skills, Machine Learning",2.0,7.0
Senior Data Scientist,AVTAR Career Creators,Chennai,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL",4.0,6.0
Job Opportunity || Data Scientist || HCL Technologies,HCL Technologies,Delhi / NCR,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN",2.0,7.0
Clinical Data Management Scientist,Accenture,Bangalore/Bengaluru,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming",5.0,8.0
Data Scientist: Advanced Analytics,IBM,Kolkata,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics",2.0,5.0
Data Scientist - KONE India Pvt. LTD,KONE,Pune,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization",4.0,6.0
Data Scientist,Ericsson,Noida,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence",5.0,8.0
Data Scientist - Leading Analytics Product Company in Mumbai,Maestro Headhunters LLP,Mumbai,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C",3.0,8.0
Data Scientist - R/Python,TRH Consultancy Services,Greater Noida,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL",5.0,10.0
Data Scientist - Machine Learning,Axcess Consultancy Services,Hyderabad/Secunderabad,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm",5.0,10.0
Sr. Data Scientist,Invesco,Hyderabad/Secunderabad,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM",5.0,10.0
Sr. Data Scientist,Accumed Practice Management DMCC,Chennai,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing",6.0,8.0
Senior Data Scientist,ContractPodAi,Mumbai,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling",5.0,9.0
Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management",8.0,13.0
Senior Data Scientist,ICERTIS Solutions,Pune,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing",10.0,12.0
Sr Data Scientist,Oportun Inc,Chennai,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services",5.0,9.0
Data Scientist,PayPal,Chennai,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",3.0,8.0
Data Scientist/ Analyst Specialist,TransOrg Solutions Services (P) Ltd.,"Noida, New Delhi, Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)","Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis",1.0,4.0
Data Scientist (freelance),2Coms,"Bangalore/Bengaluru, Bangalore North",Data Scientist,3.0,8.0
Data Scientist,M/S NILE,Bangalore/Bengaluru,"Java, python, NLP, MySQL, Machine Learning, Deep Learning",4.0,8.0
Data Scientist,ZOLVE INNOVATIONS PRIVATE LIMITED,Bangalore/Bengaluru(Bellandur),"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning",2.0,5.0
Rolls-Royce Data Labs : Data Scientist,Rolls Royce,Bangalore/Bengaluru,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python",3.0,5.0
Data Scientist,Applied Materials,Bangalore/Bengaluru,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas",7.0,10.0
Staff Data Scientist,Walmart,Bangalore/Bengaluru,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL",4.0,8.0
Data Scientist,VISA,Bangalore/Bengaluru,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA",3.0,7.0
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",10.0,12.0
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",6.0,11.0
Staff Data Scientist,Walmart,Bangalore/Bengaluru,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics",4.0,8.0
Data Scientist,CRED,Bangalore/Bengaluru,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval",1.0,5.0
Data Scientist / Machine learning Engineer- Python/NLP,Leading US MNC into Analytics,"Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR","machine learning, IT Skills, Data Science, python, nlp",2.0,7.0
Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing",3.0,8.0
Data Scientist-Client Engineering,IBM,Mumbai,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical",5.0,10.0
Sr. Data Scientist,HUDSON'S BAY SERVICES PRIVATE LIMITED,Bangalore/Bengaluru,"python, machine learning, Artificial Intelligence",4.0,9.0
Sr Data Scientist,Target,Bangalore/Bengaluru,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",4.0,9.0
Senior Data Scientist -Python+ML(5-7 years),Knowledge Foundry Business Solutions Pvt. Ltd.,Bangalore/Bengaluru,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence",5.0,7.0
Hiring Senior Data Scientist - AI ( Remote) || Hanu,Hanu Software Solutions,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data",13.0,20.0
Senior Data Scientist,Course5,"Bangalore/Bengaluru, Mumbai (All Areas)","statistics, Supply chain, gcp, aws",5.0,9.0
Data Scientist Opportunity with PayU - Diversity Hiring,PayU,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)","python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining",2.0,7.0
Data Scientist 1,PayPal,Bangalore/Bengaluru,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services",4.0,8.0
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical",3.0,7.0
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation",3.0,7.0
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence",3.0,7.0
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS",3.0,7.0
Data Scientist,Ashkom Media India Private Limited,"Noida, Bangalore/Bengaluru","cloud, Hive, python, Hadoop, Big Data",3.0,6.0
Associate Data Scientist,IDFC FIRST Bank,"Mumbai, Pune, Bangalore/Bengaluru, Mumbai","Economics, stats Graduate, Data scientist, Machine Learning Eng",3.0,7.0
Digital-Associate Process Manager - Data Scientist APM,eClerx,Pune,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling",4.0,6.0
Data Scientist,Master Mind Consultancy,"Mumbai, Bangalore/Bengaluru","data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python",10.0,15.0
Data Scientist,cliqhr.com,Bangalore/Bengaluru,"data mining, -, R, Tableau, communication, SQL, C++, Python",5.0,8.0
Data Scientist,Hucon Solutions,Bangalore/Bengaluru,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL",8.0,13.0
Data Scientist,cliqhr.com,Bangalore/Bengaluru,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R",5.0,10.0
Lead Data Scientist,Target,Bangalore/Bengaluru,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL",7.0,12.0
Lead Data Scientist,TransOrg Solutions Services (P) Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning",4.0,9.0
Data Scientist,PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,Hyderabad/Secunderabad,"python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch",2.0,6.0
Junior Data Scientist,Snaphunt,Gurgaon/Gurugram,"data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning",2.0,5.0
Junior Data Scientist,EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,Noida,"Data Science, Hypothesis testing, Text mining, PowerBI, R, Tableau, GLM Algorithms, SQL",1.0,2.0
Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru","Machine Learning, Data Science, SAS, Data Scientist, Statistics, Analytics, SQL",2.0,7.0
Data Scientist (freelance),2Coms,"Mumbai, Mumbai","IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist",3.0,8.0
Data Scientist,AutomationEdge,Pune,"Training, deep learning, Backend, Linux, Artificial Intelligence, Machine learning, Transformers, Deployment",4.0,8.0
Data Scientist,Liases Foras Real Estate Rating and Research Private Limited,Mumbai Suburban,"python, sql, Hadoop Administration, Hive, Periscope, Spark, Machine Learning",5.0,10.0
Data Scientist II,Groupon,Bangalore/Bengaluru,"AWS services, Data Science, NLP, Neural Networks, Data Analysis, Data Mining, Machine Learning, Deep Learning",3.0,6.0
Python Developer(Data Scientist),ICAV Tech Pvt. Ltd.,Remote,"Java, R, Python, IT Skills, Software Development, Testing, Quality Assurance, Javascript",2.0,7.0
Data Scientist,Liquiloans,Mumbai,"Data Scientist, Data Science, Scipy, Pandas, Scikit-learn, Numpy, programming, implementation skills",2.0,3.0
Data Scientist,TotalAI Systems India LLP,Remote,"algorithms, Natural Language Processing, Deep Learning, IT Skills, Java, Python, Data Science, Tableau",4.0,7.0
Mid Level Data Scientist,IBM,Ahmedabad,"data science, Machine learning, Cloud, Open source, Python, IT Skills, Software Development, Testing",5.0,8.0
Data Scientist,IBM,Kochi/Cochin,"Software design, Machine learning, Open source, SQL, Python, Analytical skills, Analytical, Artificial Intelligence",4.0,8.0
Data Scientist - Experienced/fresher | Kolkata,SIBIA Analytics and Consulting Services Pvt Ltd,Kolkata,"Logistic Regression, MySQL, Natural Language Processing, Time Series, Python, sql, SQL queries, machine learning",0.0,4.0
Data Scientist,Amdocs,Pune,"deep learning, python, data science, machine learning, SQL, Communication Skills, artificial intelligence",4.0,8.0
Service Delivery _ OSS _ Data Scientist,Ericsson Global Services,Kolkata,"Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics",4.0,8.0
Urgent Opening For Senior Data Scientist Role (Pune),Peoplefy Infosolutions Pvt. Ltd.,Pune(Kharadi),"Data Science, Artificial Intelligence, Machine Learning, IT Skills, Python, Predictive Modeling, Natural Language Processing",6.0,11.0
Senior Data Scientist,Ocrolus East,Gurgaon/Gurugram,"Computer science, Automation, github, data science, Machine learning, Venture capital, Programming, Analytics",4.0,8.0
Sr . Data Scientist / Data Scientist,fountain9,Mumbai,"IT Skills, Machine Learning, SAN, Statistical analysis, French, big data analytics, OOPS, Data structures",2.0,7.0
Sr NLP & Text Mining Data Scientist,Evolent Health,Pune,"Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare",2.0,6.0
"Data Scientist/ Machine Learning, 2022 Passout Can also apply",Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Vadodara","python, Machine Learning, Data Scientist, IT Skills, PHP, Artificial Intelligence, software testing, freshers",0.0,4.0
Senior Data Scientist,techcarrot FZ LLC,Hyderabad/Secunderabad,"IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN",7.0,12.0
Senior Data Scientist,Tridiagonal Solutions Pvt. Ltd.,Pune,"Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality",3.0,8.0
Data Scientist 1,PayPal,Chennai,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",4.0,8.0
Data Scientist,Muthoot Microfin,"Kochi/Cochin, Ernakulam","Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining",3.0,8.0
Data Scientist (Risk / Fraud Experience is must),PayU Payments,Gurgaon/Gurugram,"Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data",2.0,5.0
"Specialist, Data Scientist",BNY Mellon,Pune,"Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics",6.0,8.0
"Data Scientist, Enablement",Salesforce,Hyderabad/Secunderabad,"Data analysis, Production engineering, Machine learning, Salesforce.com, Open source, Analytics, SQL, Python",4.0,8.0
"Data Scientist, Product Analytics",PayPal,Chennai,"Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services",5.0,9.0
Data Scientist,PayPal,Chennai,"remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services",4.0,8.0
Data Scientist 1,PayPal,Chennai,"Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services",4.0,8.0
Data Scientist,Impetus,Gurgaon/Gurugram,"Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow",2.0,6.0
Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL",2.0,4.0
Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru","advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills",2.0,4.0
Junior Data Scientist,KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,"Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning",1.0,6.0
Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"data analytics, Data Scientist, Machine Learning, Data analysis, python, SAS, data engineering, SQL",4.0,9.0
Need immediate joiners - Data Scientist,Hucon Solutions,Kolkata,"data scientist, Data modeling, analytics, IT Skills, Cloud, R, Tableau, machine learning",8.0,11.0
Lead Data Scientist - CPG/BFSI/Healthcare Domain,TalentCo Search Pvt Ltd,Pune,"end-to-end, EDA, visualizations, insights, monitoring, modelling, problem scoping, R",8.0,12.0
Data Scientist - Machine Learning,Career Infosystem,Noida,"Machine Learning, Predictive modeling, MongoDB, Spark, Python, Deep Learning stack, NLP, Hadoop",1.0,5.0
Data Analyst/data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,"software development, Data Mining, Machine Learning, Java, C#, Hadoop, communication, C++",5.0,7.0
Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,"C#, Java, architecting, C++, software development, Data Scientist, Hadoop, Data Analysis",5.0,7.0
Data Analyst/ Data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,"Java, software development, Machine Learning, C++, Hadoop, Data Mining, communication, algorithms",5.0,7.0
Senior AI Scientist - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,"Python, IT Skills, Java, Data Science, Machine Learning, Cloud, SAP, Procurement",4.0,9.0
Data Scientist,ALOIS TECHNOLOGIES LLP,"Pune, Bangalore/Bengaluru","computer vision, Machine Learning, Deep Learning, PowerPoint, VoTT, Git, CUDA, Keras",4.0,9.0
Data Scientist - Internet Jobs - II,Jobs Territory,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science, Data Analysis, NLP, Neural Networks, Data Mining, Machine Learning, AWS, Deep Learning",3.0,6.0
Data Scientist,Randstad India Private Limited,Bangalore/Bengaluru,"Data science, Tableau, Python, SQL, Data scientist, Data Visualization",1.0,5.0
Data Scientist,TAMCHERRY TECHNOLOGIES PRIVATE LIMITED,"Kochi/Cochin, Bangalore/Bengaluru","Big Data, Machine Learning, Python, IT Skills, Data Science, Cloud, AWS, Azure",2.0,5.0
Data Scientist,Aurigo Software Technologies Pvt Ltd,Bangalore/Bengaluru,"Data Science, Natural Language Processing, Big Data, Python, IT Skills, Cassandra, Kafka, MongoDB",4.0,6.0
Data Scientist,Aidetic Software Pvt Ltd,Bangalore/Bengaluru,"Data Science, Python, Opencv, Scipy, NLTK, Numpy, Tensorflow, Pytorch",1.0,5.0
Jr. Data Scientist,TEOCO Software,Bangalore/Bengaluru,"R, Alteryx, Statistics, SQL, Python",1.0,5.0
Senior Data Scientist,TrueView HR Consulting Pvt. Ltd,"Pune, Bangalore/Bengaluru","Data Science, IT Skills, Python, Testing, Machine Learning, Cloud, AWS, Tableau",6.0,8.0
Senior Data Scientist - Global Product Organisation.,Spencer N Hills Consulting Pvt Ltd,Bangalore/Bengaluru,"advanced analytics, data science, machine learning, Python",10.0,18.0
Data Scientist,2Coms,"Bangalore/Bengaluru, Bangalore North","Tensorflow, Python, Caffe, MxNET, Keras, written communication, PyTorch, Agile",6.0,11.0
Data Scientist,TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Azure Machine Learning, Pandas, KNN, Regression, Azure ML, Matplotlib, Data science, Machine Learning",6.0,9.0
